	Date	ID	Lat	Long	Type
1713	2018-04-11	5619565	54.701771923847	25.295482780129	10020203
1714	2018-04-11	5618176	54.698496854949	25.282361540728	10020202
1715	2018-04-12	5646099	54.678779100627	25.299495742055	10020202
1716	2018-04-12	5618664	54.698715674814	25.290529242374	10020203
1717	2018-04-12	5619707	54.678779100627	25.299495742055	10020202
1718	2018-04-12	5619140	54.678779100627	25.299495742055	10020202
1719	2018-04-12	5619227	54.678779100627	25.299495742055	10020202
1720	2018-04-13	5620196	54.681224416359	25.300225197896	10020202
1721	2018-04-13	5620244	54.692870551573	25.255874795679	10020203
1722	2018-04-13	5620247	54.692870551573	25.255874795679	10020202
1723	2018-04-14	5620607	54.670246504554	25.288184434948	10020202
1724	2018-04-14	5622363	54.673686117566	25.284137905434	10020202
1725	2018-04-15	5621177	54.704578720688	25.296022235129	10020202
1726	2018-04-18	5624610	54.671044117333	25.285000297534	10020202
1727	2018-04-18	5624815	54.672040193422	25.27577547901	10020203
1728	2018-04-18	5625170	54.671044117333	25.285000297534	10020202
1729	2018-04-19	5625761	54.678779100627	25.299495742055	10020202
1730	2018-04-20	5633691	54.674600786817	25.289392168558	10020202
1731	2018-04-20	5742295	54.674600786817	25.289392168558	10020202
1732	2018-04-21	5803311	54.701771923847	25.295482780129	10020203
1733	2018-04-22	5628048	54.701771923847	25.295482780129	10020202
1734	2018-04-23	5629338	54.671354932478	25.281955747582	10020202
1735	2018-04-24	5639546	54.701771923847	25.295482780129	10020202
1736	2018-04-25	5631668	54.701147479578	25.303437991778	10020202
1737	2018-04-25	5631674	54.672231737029	25.279766194374	10020202
1738	2018-04-28	5634501	54.699827242239	25.272939213862	10020202
1739	2018-04-28	5634518	54.679100135313	25.298048303608	10020202
1740	2018-04-28	5634536	54.701147479578	25.303437991778	10020202
1741	2018-04-29	5634781	54.695936624433	25.260018578078	10020202
1742	2018-04-29	5634756	54.685175077432	25.279413432056	10020202
1743	2018-04-29	5634916	54.699030239457	25.278654780937	10020202
1744	2018-04-30	5642641	54.698926915728	25.286719279562	10020201
1745	2018-04-30	5916447	54.701771923847	25.295482780129	10020202
1746	2018-05-01	5636584	54.68498625375	25.310535273384	10020202
1747	2018-05-01	5636571	54.673613473815	25.302726429088	10020203
1748	2018-05-01	5653037	54.672231737029	25.279766194374	10020203
1749	2018-05-01	5916402	54.676957294183	25.254081016066	10020202
1750	2018-05-01	5916603	54.701771923847	25.295482780129	10020202
1751	2018-05-02	5637595	54.672231737029	25.279766194374	10020202
1752	2018-05-02	5916414	54.701771923847	25.295482780129	10020202
1753	2018-05-03	5916416	54.701771923847	25.295482780129	10020202
1754	2018-05-04	5640022	54.694196986194	25.27428322769	10020202
1755	2018-05-04	5639972	54.671892093942	25.288918727996	10020202
1756	2018-05-04	5916420	54.701771923847	25.295482780129	10020202
1757	2018-05-05	5644469	54.687706873871	25.281323328183	10020202
1758	2018-05-05	5642379	54.672550735395	25.308785828072	10020202
1759	2018-05-07	5642128	54.69516442217	25.254766627234	10020202
1760	2018-05-08	5642421	54.68188232026	25.277231745133	10020202
1761	2018-05-09	5703844	54.679857648121	25.266374886959	10020202
1762	2018-05-09	5644796	54.667923743086	25.250004418099	10020203
1763	2018-05-09	5654959	54.679857648121	25.266374886959	10020203
1764	2018-05-10	5645958	54.67390986468	25.272298878853	10020203
1765	2018-05-10	5646008	54.698715674814	25.290529242374	10020203
1766	2018-05-12	5647431	54.701025637833	25.265761951231	10020202
1767	2018-05-13	5649042	54.685175077432	25.279413432056	10020202
1768	2018-05-13	5686908	54.672040193422	25.27577547901	10020203
1769	2018-05-13	5670025	54.692067290252	25.306357971345	10020202
1770	2018-05-13	5647885	54.699917412368	25.278884383929	10020202
1771	2018-05-13	5647930	54.676505178721	25.291980055596	10020202
1772	2018-05-14	5649281	54.702609875866	25.297790387339	10020203
1773	2018-05-14	5827181	54.676504202184	25.282769248318	10020202
1774	2018-05-15	5650245	54.674543685838	25.24938597753	10020202
1775	2018-05-18	5653869	54.671009860652	25.249618577925	10020202
