	ID	Lat	Long	Types
64	59c980fd44294ca41c335414071dc9d653d584a1	54.675937	25.288386	['restaurant', 'point_of_interest', 'food', 'establishment']
65	22be1482bcbf4188890113f9b4b63fb84621fddb	54.695549	25.2597634	['restaurant', 'point_of_interest', 'food', 'establishment']
66	9b9949e4a4406e2efc49accc941b7cc0e71d2b5e	54.6809014	25.2699297	['restaurant', 'point_of_interest', 'food', 'establishment']
67	1a66c3b99951e29ab541a219dfd9392c31357555	54.68027399999999	25.2883142	['restaurant', 'point_of_interest', 'food', 'establishment']
68	0a0ac1d7e9b1d88966874f304985bc4e830fd4c4	54.6961765	25.27633879999999	['restaurant', 'point_of_interest', 'food', 'establishment']
69	f8edfb304fe1760de10a86bbb94ed5aab24bb2e1	54.676652	25.286793	['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']
70	6a7ba405e6b71cfb5fb54803e97509ab347f615d	54.6755967	25.2833053	['restaurant', 'point_of_interest', 'food', 'establishment']
71	5facbb9ca3522a0fb161ab017138fdd3789bc945	54.6867027	25.2595354	['restaurant', 'point_of_interest', 'food', 'establishment']
72	2dc682496320c85beafef07f02214c3fd23e67d5	54.68342429999999	25.2894377	['restaurant', 'point_of_interest', 'food', 'establishment']
73	4ccb06ea832f42ab34cb9a1c2bd378f2fdd9d562	54.6867199	25.2862869	['restaurant', 'point_of_interest', 'food', 'establishment']
74	350138da80582263a6a1f0a61fca133d640e968a	54.68795189999999	25.2761551	['restaurant', 'point_of_interest', 'food', 'establishment']
75	0c7fd8f07d26ef3ec845beb3be342eabb8ad84f4	54.679681	25.285793	['restaurant', 'point_of_interest', 'food', 'establishment']
76	3f519f030aed5ba75dbc3e1878e33ba0e3d76c6d	54.68094900000001	25.2850663	['restaurant', 'point_of_interest', 'food', 'establishment']
77	c40e11f20ab02a04d27f1a8b4a35758f3a9e35ce	54.703605	25.279493	['restaurant', 'point_of_interest', 'food', 'establishment']
78	ec3889e6143abcf3c914541867ca5921362016b9	54.6811367	25.2698566	['restaurant', 'point_of_interest', 'food', 'establishment']
79	e5abb0068d77451fa4e2cfaddcd8496e1cc83d4a	54.6821914	25.2912539	['restaurant', 'point_of_interest', 'food', 'establishment']
80	01f1e34b6cc2492a3bdc8676089ecaf9873d2f53	54.6820262	25.2863703	['restaurant', 'point_of_interest', 'food', 'establishment']
81	c06273f08be41db57fb2a5bd8c0dd13e97e1fc2f	54.69609999999999	25.277416	['restaurant', 'point_of_interest', 'food', 'establishment']
82	774c527b49f0acfb22cc37d71d0badc2123bda2b	54.6864259	25.2860471	['restaurant', 'point_of_interest', 'food', 'establishment']
83	7c612c04702753982635f286f715735a84b70b5b	54.686569	25.283348	['restaurant', 'point_of_interest', 'food', 'establishment']
84	bd52c8bf57a04b52f50f6238831b10170bf6dbec	54.6877997	25.265312	['restaurant', 'point_of_interest', 'food', 'establishment']
85	6cea25cb3098cd4210f1cc42a65ee189e316cf07	54.68533299999999	25.2846053	['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']
86	21bf9f8856ee25d87edcf4484f102e6f3e22486e	54.6756641	25.2888804	['restaurant', 'point_of_interest', 'food', 'establishment']
87	7838bf7d4925c9eaa1de528e7c4e3a8f27f2b358	54.6798921	25.287637	['restaurant', 'point_of_interest', 'food', 'establishment']
88	80eedc0f600546a88e51247b8d9cf9de8d521ec1	54.6792277	25.287243	['restaurant', 'point_of_interest', 'food', 'establishment']
89	2a29082fff9da1473dd693d06c0b7996fe7d6d2a	54.6802778	25.2933333	['store', 'point_of_interest', 'establishment']
90	6a3f9ee8a3a0cbd918b49b8f4aa249112c210ed3	54.680155	25.266054	['store', 'point_of_interest', 'establishment']
91	f6d1e021e99a55d3675d392b94fba4e8b356d8af	54.6790836	25.26706099999999	['store', 'point_of_interest', 'establishment']
92	2970e94bfbc59e4e8265525daf17aad79f2222df	54.69489300000001	25.2776291	['store', 'point_of_interest', 'establishment']
93	8ee67bf50f2e5f1415c503484bf4287351b3f103	54.6948689	25.2525904	['store', 'point_of_interest', 'establishment']
94	cc01d2a7e40a258821eaec50682ee98d4b1e936e	54.69046299999999	25.2778209	['store', 'point_of_interest', 'establishment']
95	59eb16b2ed46ef889578922295b4dd349867d94e	54.67274339999999	25.2665621	['store', 'point_of_interest', 'establishment']
96	b3ebf07a80b902fd369c350bed1b94a849f4ef13	54.69367949999999	25.2761333	['store', 'point_of_interest', 'establishment']
97	5a75bc4a3846ff3d6322d693e585271f0efbe1be	54.68195550000001	25.2675006	['store', 'point_of_interest', 'establishment']
98	1a5b4626d6baacac638c7f3c1e5d0d978114d3fa	54.68177489999999	25.2669955	['store', 'health', 'point_of_interest', 'establishment']
99	3d2a0e06709d64583de64c85d719cf0eb02475e8	54.6944173	25.2814599	['store', 'point_of_interest', 'establishment']
100	87a80a850629dd30f302ac9a53ac3309328cdd18	54.6877854	25.2842381	['night_club', 'bar', 'point_of_interest', 'establishment']
101	8c78fbb5998194d952d78608ed69d2e8cc908b71	54.67815299999999	25.2879786	['night_club', 'point_of_interest', 'establishment']
102	e59cf67e914f4711451b1241eeb9ff83f56f240f	54.67643	25.284621	['night_club', 'point_of_interest', 'establishment']
103	1222c0b0f694ff46eaae097a414f5dd6c5da84cb	54.67869	25.2667181	['night_club', 'bar', 'point_of_interest', 'establishment']
104	42fb2db949fc0743fd5f402cd7b011a94f839e0d	54.677026	25.288978	['night_club', 'bar', 'point_of_interest', 'establishment']
105	085b3842dedeeb996d7e17460dcfc51b4a60fe71	54.686206	25.275113	['night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']
106	a442c44f4e81fd9d7b77634fbc18fe68ebd852e1	54.675767	25.2919579	['night_club', 'point_of_interest', 'establishment']
107	29e0a2bc6e7b73b91d5fda84f53932194e2bbb2d	54.6837099	25.2791814	['night_club', 'point_of_interest', 'establishment']
108	d9371c570d6941db3f33c310b9b9552b3100da63	54.692634	25.2860569	['night_club', 'point_of_interest', 'establishment']
109	6e1b026ab15524959589e6facdf0a00475c69e2e	54.67668639999999	25.2811783	['night_club', 'point_of_interest', 'establishment']
110	4e5c360657d2d3f4278cd9ea45405da7e5c0f836	54.6861858	25.2843999	['night_club', 'point_of_interest', 'establishment']
111	f7f5654b4052ed15414b6ba60e5da13b639109dd	54.6844261	25.2793772	['night_club', 'point_of_interest', 'establishment']
112	dcd9fab875482c6b462a843cd04ab274adf119ad	54.6841579	25.2778689	['night_club', 'point_of_interest', 'establishment']
113	910681d6b9323313192cde515b98032de7da29da	54.6836888	25.2790766	['night_club', 'point_of_interest', 'establishment']
114	ab51eec21d0dd9afdd861731cdebf7dda3001a78	54.6828669	25.2801741	['night_club', 'point_of_interest', 'establishment']
115	95d7c3638e36c5b8badcff5840a25b10d9fd2aee	54.6881155	25.274437	['night_club', 'bar', 'point_of_interest', 'establishment']
116	d171f423ac17ff5965b0887836459658797b3a0c	54.6824831	25.27992219999999	['night_club', 'point_of_interest', 'establishment']
117	4a1032ca51776b0831de487fbdfb3926337f586c	54.6849308	25.2691642	['night_club', 'point_of_interest', 'establishment']
118	dace2c8c6a94238c63797a96faa7ccd758f7b1e3	54.6930679	25.2698734	['night_club', 'bar', 'point_of_interest', 'establishment']
119	0f82069bcaa6206299406edb863a35544fc976f5	54.69293649999999	25.2684434	['night_club', 'point_of_interest', 'establishment']
120	4c0c3b6d4c854906365ce776ef4a696a2b1b5816	54.6985515	25.268662	['night_club', 'point_of_interest', 'establishment']
121	af82b0b3bac04f7103596a2225c1f13d80008460	54.67978249999999	25.2555299	['night_club', 'point_of_interest', 'establishment']
122	8f60ad55be90bbac0f372a9cdd521677356d8c7f	54.67519069999999	25.2447472	['night_club', 'point_of_interest', 'establishment']
123	05d666f52658f75d8eba4436ff97720f06c280c1	54.6871555	25.2796514	['night_club', 'point_of_interest', 'establishment']
124	83565c63e73ab331672971b6bd5713835bb71fee	54.6849392	25.2793975	['night_club', 'point_of_interest', 'establishment']
125	8eb64a6eeae922ca0bc4950fffaf403e30ba5860	54.68637829999999	25.276072	['night_club', 'bar', 'point_of_interest', 'establishment']
126	74e6e809910f1c462b9c3348a68cae07b16e4f96	54.684898	25.2848755	['night_club', 'point_of_interest', 'establishment']
127	46d500c25d47e3cf0b4236ce634ede79bb851d90	54.6839519	25.2791019	['night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']
128	507d807e308fc907b9f78e4457d4e07af7d46f37	54.6884109	25.27649379999999	['night_club', 'point_of_interest', 'establishment']
129	2c9ad3a5fa4583f99dd624d8e75ebaf78b0191d4	54.68296669999999	25.2808325	['night_club', 'point_of_interest', 'establishment']
130	a2206de36d46cb4367823060a2412b33bf04c624	54.6826193	25.2799126	['night_club', 'point_of_interest', 'establishment']
131	5aa54d925ced6bf35b0c8573b250a030c323b102	54.69388499999999	25.2776685	['night_club', 'point_of_interest', 'establishment']
132	2f57543e22bc150b10667d9007868f4f28df833e	54.6791645	25.2844498	['night_club', 'point_of_interest', 'establishment']
133	1593e21557d53d55ccd007a90685a9f95356c454	54.67868900000001	25.2866318	['night_club', 'point_of_interest', 'establishment']
134	ca5cbf0402746de62e3694ef74162e620655a928	54.6781363	25.2858137	['night_club', 'point_of_interest', 'establishment']
135	c0b349ea17690eabc5bbd0bf2264fdf7a331ddd3	54.678044	25.2861461	['night_club', 'point_of_interest', 'establishment']
